step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,log,thetam,algo_perc,dataset,bs,rob,project,layers,input_dim,same_random_classifier,rm_pixel,binarize_dataset,save_results,epochs,seed,train_dim,n_runs,device,algo_layer,thermometer_bits,freeze_last,k,grouping_factor,epoch_interval_switch,prob_reinforcement,prob_update,val_dim,rescale,freeze_first
42.0,99.692,0.0292574776766519,94.795,0.5702850164610698,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
43.0,99.701,0.0391024295920303,94.515,0.7134598797409704,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
44.0,99.737,0.0272213151776359,94.665,0.439914764471482,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
45.0,99.74,0.0495983870705491,94.695,0.4660740284547091,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
46.0,99.764,0.04651881339845,94.76,0.5629387178015041,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
47.0,99.753,0.0343656805548828,94.65,0.4555216789572135,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
48.0,99.777,0.046914816422962,94.66,0.5471745608121785,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
49.0,99.805,0.0358468966578693,94.655,0.6597158479224186,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
50.0,99.802,0.0321869538788595,94.835,0.5554502678008195,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
0.0,9.873,0.5986326085338152,9.975,1.120546741550748,False,0,cp+r,synthetic,100,8,bnn-synthetic-localloss,35_35,,False,False,False,True,50,42,,10,0,one,0,True,1,35,0,0.5,1,2000,False,False
