step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
7,0.8331920146942139,0.0041933095699157,0.8268799960613251,0.0060224245883228,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
8,0.8367640018463135,0.0039655208668635,0.8299000084400177,0.005948784495842,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
9,0.8397819995880127,0.0036284010632167,0.8324299991130829,0.0055695749356939,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
10,0.8426320075988769,0.0035045721287327,0.8345700085163117,0.0058355777257755,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
11,0.845056003332138,0.0034376609037616,0.8360100030899048,0.0054351596392578,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
12,0.8471320033073425,0.0034184260809234,0.8376399993896484,0.0056062762605295,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
13,0.8490560054779053,0.0033903775466843,0.838699996471405,0.0055939210883281,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
14,0.8507059931755065,0.0031739914506881,0.8395700097084046,0.0053454718704488,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
15,0.8522700071334839,0.0030486054319431,0.8404999911785126,0.0054517988218397,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
16,0.8538819909095764,0.002961374839493,0.8409099996089935,0.0055841611008973,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
17,0.8553120017051696,0.0029049506468381,0.8415500104427338,0.0054584392235258,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
18,0.8565900087356567,0.0027928562345526,0.8424400091171265,0.0054362162131626,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
19,0.8576519966125489,0.0026199224699805,0.8431700050830842,0.0049353892544168,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
20,0.8587799966335297,0.0026511932280487,0.8436599910259247,0.0049614903423496,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
21,0.8597319960594177,0.0026310241951905,0.8446200013160705,0.0047830492962581,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
22,0.860701996088028,0.0025827477926872,0.8451499938964844,0.0047998437373354,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
23,0.861708003282547,0.0025185681821287,0.8453499913215637,0.0048499954115632,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
24,0.8626320004463196,0.002493170583069,0.8454900026321411,0.0048318613882865,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
25,0.863453996181488,0.0025513642697838,0.8455600023269654,0.0048442156319498,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
26,0.8642399907112122,0.0023854445392026,0.8455400049686432,0.0049735609440312,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
27,0.8649439990520478,0.0023434953140411,0.845960009098053,0.0051004240398198,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
28,0.8655600011348724,0.002342051523893,0.8460600018501282,0.005068959302229,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
29,0.8662179946899414,0.0023328029861139,0.8461499989032746,0.0049604947621033,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
30,0.8667699992656708,0.0023731203503417,0.8464299976825714,0.0049713319755051,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
31,0.8674739956855774,0.0023688050044327,0.8466699898242951,0.0048879585651569,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
32,0.8680619955062866,0.0023027159107681,0.8468899965286255,0.0047953000282248,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
33,0.8685960114002228,0.0022608118830345,0.8468999981880188,0.0046002121387492,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
34,0.8691999971866607,0.0022095523622044,0.8469999969005585,0.0047972876839101,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
35,0.8697179973125457,0.0021362505867279,0.8470700025558472,0.004823284681199,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
36,0.8702139973640441,0.002046267069152,0.847079998254776,0.004590824431334,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
37,0.8707279980182647,0.0020395806800307,0.8471199929714203,0.0045809983224282,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
38,0.8712539970874786,0.0020293834108874,0.8472000122070312,0.0044752645288888,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
39,0.8717960059642792,0.0020378975080142,0.8474000036716461,0.0046186506937732,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
40,0.8722899973392486,0.0019273327965744,0.8476299941539764,0.0046314295660839,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
41,0.8727840065956116,0.0016716456326625,0.8476200044155121,0.0047209757720575,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
42,0.8731419980525971,0.0016634047558947,0.8476599991321564,0.0044159226616119,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
43,0.8736400008201599,0.001652280410859,0.8479400038719177,0.0044531384373484,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
44,0.8739980101585388,0.0016310580808445,0.8478799939155579,0.0044489961817155,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
45,0.8743620038032531,0.0015149225316712,0.8479900062084198,0.0042880003201708,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
46,0.8747900068759918,0.0014245903417836,0.848169994354248,0.0042839362234141,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
47,0.8751280009746552,0.0014108164257407,0.8481200039386749,0.004228904089207,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
48,0.8755939900875092,0.0014138421830114,0.8482100009918213,0.0042830951793963,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
49,0.8759500026702881,0.0015180832807738,0.848200011253357,0.0045263707336976,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
0,0.5514500081539154,0.0324798007569815,0.7355500102043152,0.0179363987534327,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
1,0.7720099985599518,0.0087785021222298,0.7964299976825714,0.0124813467058703,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
2,0.806932008266449,0.0060326686265413,0.8173600018024445,0.0078235784038714,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
3,0.8216579973697662,0.004005284195788,0.8272800028324128,0.0060385058279249,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
4,0.8304599940776825,0.0033398475630951,0.833020007610321,0.0060533965859088,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
5,0.8368880033493042,0.002752537417944,0.8373199999332428,0.0055068754574531,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
6,0.8416220009326935,0.0023289397461286,0.8401300013065338,0.0060646589692204,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
7,0.8455060005187989,0.0023573047985043,0.8425900042057037,0.006094488313594,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
8,0.8488340020179749,0.0024700125105733,0.844819986820221,0.0063253078205373,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
9,0.8516720056533813,0.0025692860198388,0.8463799893856049,0.0058495779392756,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
10,0.8540519952774048,0.0025576225538587,0.8483100056648254,0.0059855528192531,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
11,0.8561059951782226,0.0025979708802022,0.8492999970912933,0.005605891673592,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
12,0.8581919968128204,0.0024057188141657,0.850380003452301,0.0054526601597526,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
13,0.8601440072059632,0.0025770924064993,0.8519499957561493,0.0052397021235298,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
14,0.8618259966373444,0.0024779064954841,0.8528599977493286,0.0052159782782932,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
15,0.863425999879837,0.0024821368783473,0.8540700018405915,0.0052634627445807,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
16,0.8649500012397766,0.0024348194263128,0.8546500027179718,0.0057107321455858,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
17,0.8661900103092194,0.0024786780880043,0.8550099968910218,0.005611857989656,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
18,0.8673619985580444,0.0025599099527155,0.8556499898433685,0.0058162226218115,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
19,0.8686340034008027,0.002576109802684,0.8562099993228912,0.005815401951658,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
20,0.8697700083255768,0.0025935083427617,0.8563899993896484,0.0058495124610455,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
21,0.8709779977798462,0.0026518187053323,0.8567599892616272,0.0058032995886468,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
22,0.872128015756607,0.0027236763485771,0.8571600019931793,0.0058622899450056,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
23,0.8732759952545166,0.0027178399946539,0.8576399922370911,0.0057402430241664,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
24,0.8742779970169068,0.0025942836926216,0.8580899953842163,0.0055238448208386,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
25,0.8752000033855438,0.0024950069553007,0.8586599946022033,0.0055190941043529,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
26,0.8762999892234802,0.0023928605107615,0.8590400040149688,0.0056269295886347,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
27,0.8772300004959106,0.0025022634924406,0.8592800080776215,0.0057351189227837,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
28,0.8781280100345612,0.002548896825835,0.8595200061798096,0.0058599968208983,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
29,0.8790260076522827,0.0024591194306275,0.85971999168396,0.0059305620804447,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
30,0.8797659993171691,0.0026440231613139,0.8598699927330017,0.0059118640954945,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
31,0.8805739998817443,0.0027131904290517,0.8600799977779389,0.0057025882132469,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
32,0.8813559949398041,0.0027359006106575,0.8600800037384033,0.005748011090868,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
33,0.8822000026702881,0.0027662946707811,0.8602600038051605,0.0058414394113291,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
34,0.8829079985618591,0.0027937189221293,0.8606099963188172,0.0059644623106832,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
35,0.8837180018424988,0.0028108814724202,0.8606899976730347,0.0057214411045869,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
36,0.8844739973545075,0.0027309154505029,0.8609300017356872,0.0057341129554995,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
37,0.885256004333496,0.002745252145263,0.8610100030899048,0.0056317734830389,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
38,0.8859560012817382,0.0028283136574619,0.8612200021743774,0.0053377520301707,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
39,0.8865400075912475,0.0028515391632183,0.8615000069141387,0.0053385466512251,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
40,0.8872039914131165,0.0027108453924546,0.8614499986171722,0.0053710792914654,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
41,0.8878939926624299,0.0028016942020326,0.8615299999713898,0.0053353613078968,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
42,0.8885040044784546,0.0028364310465511,0.8615299999713898,0.0052015543688636,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
