step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,log,thetam,algo_perc,dataset,bs,rob,project,layers,input_dim,same_random_classifier,rm_pixel,binarize_dataset,save_results,epochs,seed,train_dim,n_runs,device,algo_layer,thermometer_bits,freeze_last,k,grouping_factor,epoch_interval_switch,prob_reinforcement,prob_update,val_dim,rescale,freeze_first
48.0,88.34419999999999,0.1261251759166277,86.608,0.3229798755340659,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
49.0,88.3056,0.130763297602959,86.65599999999999,0.2822835453936353,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
50.0,88.3506,0.0903285115564288,86.64,0.2899999999999996,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
0.0,7.9036,2.789654430211742,8.139999999999999,2.957752525144725,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
1.0,73.39939999999999,0.4871468361798124,79.97200000000001,0.4604085142566338,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
2.0,80.848,0.1307608504102054,81.823,0.3798170612281656,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
3.0,82.215,0.0693815537444906,82.64899999999999,0.4074911041973798,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
4.0,83.0248,0.1101097634181462,83.36800000000001,0.3604386216819727,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
5.0,83.5958,0.0546146500492329,83.801,0.3439607535751689,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
6.0,84.03699999999999,0.0736220075792551,84.02600000000001,0.3889524392518956,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
7.0,84.421,0.070184043770646,84.352,0.3776188554614298,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
8.0,84.69059999999999,0.0766605504806736,84.537,0.3976694607334078,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
9.0,84.92979999999999,0.077874000796156,84.755,0.3890822535146017,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
10.0,85.13459999999999,0.0935779888649005,84.864,0.3468774999909911,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
11.0,85.29780000000001,0.086996321761327,84.94999999999999,0.3662512798612454,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
12.0,85.46039999999999,0.0755820084411622,85.067,0.4210950011576945,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
13.0,85.61119999999998,0.1092197784286316,85.159,0.3304981089204598,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
14.0,85.72380000000001,0.0539811078063431,85.29100000000001,0.3425915935921386,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
15.0,85.8426,0.0794382779269546,85.338,0.3451898028621358,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
16.0,85.9232,0.0735673840774601,85.46400000000001,0.3219068188156337,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
17.0,86.07300000000001,0.0976903270544217,85.478,0.3513345983531974,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
18.0,86.13539999999999,0.0807764817258078,85.539,0.3437280902108517,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
19.0,86.2474,0.0991566437511849,85.49800000000002,0.4232209824666054,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
20.0,86.30460000000001,0.0769365972733394,85.649,0.3264490771927505,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
21.0,86.37559999999999,0.0868506764510205,85.604,0.3976480856234579,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
22.0,86.44480000000001,0.0994754241006289,85.70400000000001,0.3253674845463206,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
23.0,86.511,0.0678778314326568,85.66900000000001,0.3061192578064975,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
24.0,86.59539999999998,0.0770768447719568,85.79100000000001,0.320856665818243,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
25.0,86.66499999999999,0.067529252920491,85.80699999999999,0.3523648677152729,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
26.0,86.68820000000001,0.0734708105304428,85.77700000000002,0.3646107513499852,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
27.0,86.7272,0.0595731483136493,85.839,0.3109807067970628,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
28.0,86.7936,0.082848295094105,85.83899999999998,0.3504982168285599,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
29.0,86.8352,0.079870895825704,85.91999999999999,0.3482240657967224,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
30.0,86.8782,0.0849067724036186,85.905,0.3519161832027599,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
31.0,86.91120000000001,0.0691618391889612,85.934,0.3028266831043775,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
32.0,86.9664,0.0809335529925634,85.94300000000001,0.2954335796757035,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
33.0,87.0058,0.0704525372147788,85.93699999999998,0.2910343622323668,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
34.0,87.06339999999999,0.0725592171953347,85.96399999999998,0.3522271994040194,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
35.0,87.06620000000001,0.0826435720428386,85.96000000000001,0.3668242085795324,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
36.0,87.12379999999999,0.0767981770617004,86.02799999999999,0.3305086988265235,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
37.0,87.1582,0.0649273440085158,86.057,0.3278734511972582,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
38.0,87.1806,0.0757894451754348,86.06699999999998,0.2895531039377765,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
