step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
1,0.907829999923706,0.0019370275944164,0.9055097103118896,0.0035012326359482,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
2,0.9255399942398072,0.0016650590082785,0.9116381883621216,0.0032072231244876,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
3,0.9371800005435944,0.0012147430691125,0.9155568599700928,0.0025420960438504,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
4,0.9466600000858308,0.0009572960082455,0.9186800301074982,0.0029256829484774,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
5,0.9548500001430512,0.0010423502376792,0.9202710688114166,0.0028328127400249,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
6,0.9621599972248076,0.0011473378440644,0.9207130253314972,0.0029506364429865,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
7,0.9686699986457824,0.0011108898978845,0.9215380132198334,0.0031155173918821,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
8,0.974069994688034,0.0010188744450076,0.9221567511558532,0.0035030908285717,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
9,0.9790399968624116,0.001045178797046,0.922952264547348,0.0029145222919028,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
10,0.9829799950122832,0.0008494637529696,0.9233647644519806,0.0025565654404077,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
11,0.9865099966526032,0.0008549206107402,0.92342369556427,0.0024025158261726,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
12,0.9895900070667268,0.0005700058060915,0.9234236896038056,0.0026169703297422,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
13,0.9921599924564362,0.0005388895656691,0.923423683643341,0.0027242428094966,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
14,0.9940599918365478,0.000649921418241,0.9240129709243774,0.0023989041449516,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
15,0.9955600023269652,0.0003852208846849,0.9243076026439668,0.0025016427486382,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
16,0.9967399954795836,0.000415216526767,0.9246906280517578,0.002507707150004,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
17,0.9976300060749054,0.000337784560427,0.9250147342681884,0.002372705990665,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
18,0.9981799960136414,0.0004261420988851,0.9248968720436096,0.0021427593329228,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
19,0.998740005493164,0.0002457602719298,0.9248674154281616,0.0022205576458528,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
20,0.999099999666214,0.0001897430135357,0.9249263405799866,0.0019800037270295,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
21,0.9992799997329712,0.000188666705919,0.9252504467964172,0.0019367855384302,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
22,0.9994599997997284,0.0001743507058776,0.9251325905323028,0.0020347092361224,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
