algo_layer,algo_perc,binarize_dataset,bs,dataset,device,epoch_interval_switch,epochs,freeze_first,freeze_last,grouping_factor,input_dim,k,layers,log,n_runs,prob_reinforcement,prob_update,project,rescale,rm_pixel,rob,same_random_classifier,save_results,seed,thermometer_bits,thetam,step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,train_dim,val_dim
one,cp+r,False,32,uci_horse,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,93.6949152542373,1.98355780858682,80.0,5.785948515600788,,0.2
one,cp+r,False,32,uci_horse,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,92.94915254237289,0.8813559322033921,84.93150684931507,3.519241802374008,,0.2
one,cp+r,False,32,uci_horse,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,91.52542372881356,1.286350234644761,83.56164383561642,3.1832739831841783,,0.2
one,cp+r,False,32,uci_htru,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,97.64369020182974,0.0906917135595951,97.54959485889914,0.2153615051415848,,0.2
one,cp+r,False,32,uci_htru,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,98.01522452685244,0.0607865218157345,97.90444258172673,0.1489009510419028,,0.2
one,cp+r,False,32,uci_htru,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,97.880438578113,0.0576950612537841,97.79267951941884,0.1363097057015964,,0.2
one,cp+r,False,32,uci_ionosphere,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,100.0,0.0,90.42857142857142,2.478478796128214,,0.2
one,cp+r,False,32,uci_ionosphere,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,99.53736654804273,0.2278691899442279,92.71428571428572,2.4285714285714275,,0.2
one,cp+r,False,32,uci_ionosphere,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,98.86120996441282,0.4150143697398806,90.14285714285714,3.8571428571428577,,0.2
one,cp+r,False,32,uci_landsat,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,91.72688422688422,0.9218783504887096,86.5967365967366,0.6917052764088909,,0.2
one,cp+r,False,32,uci_landsat,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,95.8003108003108,0.214696998906732,90.41181041181042,0.5351725052905235,,0.2
