step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,rescale,log,freeze_last,layers,rob,thermometer_bits,algo_layer,binarize_dataset,k,dataset,input_dim,grouping_factor,same_random_classifier,prob_reinforcement,prob_update,algo_perc,project,seed,save_results,val_dim,thetam,epochs,device,bs,n_runs,rm_pixel,epoch_interval_switch,freeze_first,train_dim
50.0,62.38095238095239,9.452111067275814,51.42857142857143,7.468755781599107,False,False,True,15_3,0.25,0,baldassi,False,1,uci_segmentation,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,100.0,0.0,83.0952380952381,7.334724667023508,False,False,True,165_15,140.0,0,baldassi,False,1,uci_segmentation,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,95.35714285714286,6.0280899529391245,67.14285714285715,6.63256584627815,False,False,True,55_5,140.0,0,baldassi,False,1,uci_segmentation,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,89.24461206896552,6.669501743170564,89.24224137931034,6.6710018665629285,False,False,True,15_3,0.25,0,baldassi,False,1,uci_shuttle,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.74116379310348,0.0142127043912029,99.70086206896552,0.0387547703327382,False,False,True,198_18,140.0,0,baldassi,False,1,uci_shuttle,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.39267241379312,0.0908491451909485,99.25775862068966,0.1189186564378763,False,False,True,66_6,140.0,0,baldassi,False,1,uci_shuttle,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,97.51767442334965,0.2898237480278768,97.3899736793781,1.08614801099372,False,False,True,15_3,0.25,0,baldassi,False,1,uci_skin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.04435693663731,0.0322066882152216,99.18610107934953,0.1835198783836524,False,False,True,264_24,140.0,0,baldassi,False,1,uci_skin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,98.76819725982678,0.0866703591245621,98.87596661973842,0.282548665285619,False,False,True,77_7,140.0,0,baldassi,False,1,uci_skin,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,74.18835436382756,0.8846803608996788,72.80231335436382,2.132878622754653,False,False,True,15_3,0.25,0,baldassi,False,1,uci_telescope,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
