step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
1,0.7707125008106231,0.0021126302545736,0.7900299906730652,0.0081004978418141,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
2,0.8194475054740906,0.0013603518489943,0.8137899994850158,0.0053746525360181,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
3,0.8451774895191193,0.0011736400510038,0.824100011587143,0.0045389455755418,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
4,0.8634425044059754,0.0009459841204045,0.830130010843277,0.0046065280253334,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
5,0.8784975051879883,0.0009458729499987,0.8333499908447266,0.0041393889432145,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
6,0.8919500052928925,0.0007572979557531,0.835209995508194,0.0036748930977797,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
7,0.9043325006961822,0.0010193730686539,0.8364000082015991,0.0041216529690611,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
8,0.9161074995994568,0.0007873324087027,0.8366199970245362,0.0036082753952104,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
9,0.9274550020694732,0.0008141580455463,0.8365799963474274,0.0035332099939481,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
10,0.938262504339218,0.000799862563712,0.8357700049877167,0.0045934840189024,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
11,0.9486100018024444,0.0008602430202627,0.8344600021839141,0.0050667984219705,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
12,0.9583374977111816,0.000610456075186,0.8326399981975555,0.0077232447257684,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
13,0.965567511320114,0.0012915587607775,0.8303499937057495,0.0095836530562827,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
14,0.9684399962425232,0.0023887523837282,0.8334800064563751,0.0104818696696143,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
15,0.9728399991989136,0.0030880935524414,0.8292100071907044,0.0153876121059548,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
16,0.9785300016403198,0.0030900243401485,0.8339499950408935,0.00506778997606,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
17,0.980982494354248,0.0039181888690452,0.834660005569458,0.0044634459700817,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
18,0.9872749984264374,0.0024734152501038,0.8348099946975708,0.0045366158332615,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
19,0.9912349998950958,0.0029131585627956,0.8354700088500977,0.0044278758371736,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
20,0.9944474935531616,0.002731766397962,0.8323599994182587,0.009464272279343,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
21,0.9933449983596802,0.003144555363747,0.8374400019645691,0.0035550581293239,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
22,0.9978275001049042,0.0020808526782355,0.835779994726181,0.004195673668989,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
23,0.9988425076007844,0.0015809079278655,0.8361499965190887,0.0034531925057752,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
24,0.999084997177124,0.0017302239604462,0.8358600020408631,0.0041653713117562,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
25,0.999857497215271,6.986356906771272e-05,0.8364999890327454,0.0039580310800842,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
26,0.9999425053596496,3.5446348538284835e-05,0.8368199944496155,0.0036113078554232,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
27,0.9999750018119812,2.738523323032641e-05,0.8366600036621094,0.0034363416158302,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
