step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
38,0.999997502565384,7.492303848266601e-06,0.8006500005722046,0.0034914981610347,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
39,0.999997502565384,7.492303848266601e-06,0.8005200028419495,0.0034715421939359,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
40,0.999997502565384,7.492303848266601e-06,0.8006100058555603,0.0034186032329863,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
41,0.999997502565384,7.492303848266601e-06,0.8008199989795685,0.0034110926013471,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
42,0.999997502565384,7.492303848266601e-06,0.8007799923419953,0.0034582665906176,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
43,0.999997502565384,7.492303848266601e-06,0.8008699893951416,0.0036389622964672,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
44,0.999997502565384,7.492303848266601e-06,0.8008400022983551,0.0035003372326638,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
45,0.999997502565384,7.492303848266601e-06,0.8007499992847442,0.0035239852945325,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
46,0.999997502565384,7.492303848266601e-06,0.8008300065994263,0.0035031470007172,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
47,0.999997502565384,7.492303848266601e-06,0.8008799970149993,0.003459426979113,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
48,0.999997502565384,7.492303848266601e-06,0.8008600056171418,0.0034733824108486,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
49,1.0,0.0,0.8008200049400329,0.0033792979827827,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
0,0.6281299948692322,0.0163732259585882,0.7581399977207184,0.0078577632594327,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
1,0.7926775097846985,0.0037630028722239,0.7951600015163421,0.0080978129257584,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
2,0.8316074967384338,0.0030993766490399,0.8096999883651733,0.0082281250601687,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
3,0.8576349973678589,0.0027404248864506,0.8158700048923493,0.008261364537515,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
4,0.8789124965667725,0.0024443356377997,0.8182699978351593,0.0079437953202629,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
5,0.8982425034046173,0.0022692297311035,0.8176799952983856,0.0083683730937608,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
6,0.9157499969005584,0.0020958881765109,0.8167099952697754,0.0076660812107667,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
7,0.9328674912452698,0.0019417149092667,0.8144900023937225,0.0074971284614891,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
8,0.9484600007534028,0.0020622326681967,0.8111800014972687,0.0075960254309205,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
9,0.962185001373291,0.0019479220649029,0.8086299955844879,0.0070139912950197,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
10,0.9735600054264067,0.0017454314377809,0.8065500020980835,0.006619399470685,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
11,0.9826050102710724,0.0014184926159123,0.8053300023078919,0.00530830456525,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
12,0.988635003566742,0.0013192923430673,0.8041599988937378,0.0056317313843825,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
13,0.992847502231598,0.0014441417863707,0.803790009021759,0.006373131662684,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
14,0.9945175051689148,0.0023400036024512,0.8046899974346161,0.0059726757768139,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
15,0.9967524945735932,0.0018710810032919,0.8029899954795837,0.0065959803583802,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
16,0.9982550024986268,0.0015555489040784,0.8053899884223938,0.0047975980546245,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
17,0.9992899954319,0.0006065444858945,0.8059300065040589,0.0040328723190554,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
18,0.9997699975967408,0.0001515807520132,0.8047299981117249,0.0047411138901953,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
19,0.9999625027179718,2.305107358705289e-05,0.8053399980068207,0.0035704884187489,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
20,0.9999875068664552,1.6766632954395133e-05,0.8057099938392639,0.0035331234511062,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
21,0.9999925076961518,1.1444683171430211e-05,0.8059100031852722,0.0033043678456031,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
22,0.999997502565384,7.492303848266602e-06,0.8060599982738494,0.0034664601995654,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
23,0.999997502565384,7.492303848266602e-06,0.8062799990177154,0.0031390377648206,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
24,1.0,0.0,0.80625,0.0032509202453042,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
25,1.0,0.0,0.8063799977302551,0.0032195599641996,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
26,1.0,0.0,0.8063800096511841,0.0031108844336885,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
27,1.0,0.0,0.80625,0.0030087357346407,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
28,1.0,0.0,0.80628000497818,0.0029256858853986,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
